              Vardas             Pavarde       ND1       ND2       ND3       ND4       ND5      Egz.
             Vardas1            Pavarde1         6         6         6         7        10         2
             Vardas2            Pavarde2         3         7         4         9         8         2
             Vardas3            Pavarde3         7         3        10         9         6        10
             Vardas4            Pavarde4         8         4         1         6         9         8
             Vardas5            Pavarde5         9         7         3         9         2         1
             Vardas6            Pavarde6         7         2         5         1         5         8
             Vardas7            Pavarde7         6         6         4         4         9         8
             Vardas8            Pavarde8         1         4         3         6         3         8
             Vardas9            Pavarde9         4         4         6         2         5         5
            Vardas10           Pavarde10        10         2         8         9         2         3
            Vardas11           Pavarde11         1        10         7         9         5         6
            Vardas12           Pavarde12         1         5         4         6         8         9
            Vardas13           Pavarde13        10         5         3         6         2         7
            Vardas14           Pavarde14         8         8         4        10         5         6
            Vardas15           Pavarde15         1         9         1         8         7         1
            Vardas16           Pavarde16         4         3        10         7         1         3
            Vardas17           Pavarde17         7         9         6         2        10         2
            Vardas18           Pavarde18         6         4         2        10         8         8
            Vardas19           Pavarde19        10        10         7         8         5         9
            Vardas20           Pavarde20         7         9         1         8         5         3
            Vardas21           Pavarde21         1         2         4         4         5         4
            Vardas22           Pavarde22         8         1         7         6         4         4
            Vardas23           Pavarde23         7         4         8         9         8         3
            Vardas24           Pavarde24         8         5         4         3         4        10
            Vardas25           Pavarde25         7         9         3         5         1         7
            Vardas26           Pavarde26         6         5        10         4         2         8
            Vardas27           Pavarde27         3         4         9         4         8         9
            Vardas28           Pavarde28         5         5         5         1         9         4
            Vardas29           Pavarde29         3         7         4         7         5         1
            Vardas30           Pavarde30         1         5         6         6         1         7
            Vardas31           Pavarde31         2         9         8        10        10         1
            Vardas32           Pavarde32         6         4         3         6         1         4
            Vardas33           Pavarde33         7         6         8         7         5         5
            Vardas34           Pavarde34         8         6         4         2         3         7
            Vardas35           Pavarde35         4         3         2         4         1         2
            Vardas36           Pavarde36         2         9         8         9         6        10
            Vardas37           Pavarde37         8         8         4         8         8         6
            Vardas38           Pavarde38         8         8         3         6         5        10
            Vardas39           Pavarde39         6         4         2         8         3         9
            Vardas40           Pavarde40         3         7         9         8         3         9
            Vardas41           Pavarde41         9         2        10         2         8         2
            Vardas42           Pavarde42         1         6         5         2         5         5
            Vardas43           Pavarde43        10         4         6        10         5         7
            Vardas44           Pavarde44         3         9         9         7         2         3
            Vardas45           Pavarde45        10         2         1         6         4         2
            Vardas46           Pavarde46        10         5         6        10         6         7
            Vardas47           Pavarde47         7         2         2         3         6         1
            Vardas48           Pavarde48         1         4         6         9         9         2
            Vardas49           Pavarde49        10         1         3         5         1         4
            Vardas50           Pavarde50         9         8         5         7         5         7
            Vardas51           Pavarde51         3         9         7         6         9         1
            Vardas52           Pavarde52         2         6         2         3         4         6
            Vardas53           Pavarde53         1         1        10        10         8         7
            Vardas54           Pavarde54         6         8         1         1         1         8
            Vardas55           Pavarde55        10         7         4         4        10         6
            Vardas56           Pavarde56         1         8         7        10         4         9
            Vardas57           Pavarde57         8         9         4         3         8         6
            Vardas58           Pavarde58         6         7         3         4         3         1
            Vardas59           Pavarde59         4         2         7         7         1         5
            Vardas60           Pavarde60         6        10         9        10         1         1
            Vardas61           Pavarde61         9        10         7         8         3         4
            Vardas62           Pavarde62         1         6         6         2         5         2
            Vardas63           Pavarde63         4         9         3         2         8         8
            Vardas64           Pavarde64         1         9         2         2         3         1
            Vardas65           Pavarde65         1        10         8         5         5         3
            Vardas66           Pavarde66         1         8         7         2         1         6
            Vardas67           Pavarde67         2         9         1         7         2        10
            Vardas68           Pavarde68         1         9         2         4        10         9
            Vardas69           Pavarde69         5         3         2         1         8         3
            Vardas70           Pavarde70         5         2         5        10         9         6
            Vardas71           Pavarde71         1         1         9         8         9         9
            Vardas72           Pavarde72         3         7         9         3         9         4
            Vardas73           Pavarde73         6         7         2        10         2         9
            Vardas74           Pavarde74         1         1         7         8         3         2
            Vardas75           Pavarde75         5         2         3         4         6         8
            Vardas76           Pavarde76        10         3        10        10         7         6
            Vardas77           Pavarde77         3         5         5         6         2         1
            Vardas78           Pavarde78         8         7         8         4         8         1
            Vardas79           Pavarde79         5         2         3         5        10         9
            Vardas80           Pavarde80        10         8         6        10         3         9
            Vardas81           Pavarde81         4         7         9         9        10         2
            Vardas82           Pavarde82         3         3         5         1         3         9
            Vardas83           Pavarde83         4         4         3         5         3         6
            Vardas84           Pavarde84         5         9         9         8         1         8
            Vardas85           Pavarde85         3         2         7         4        10         1
            Vardas86           Pavarde86        10         5         6         3         5         1
            Vardas87           Pavarde87         5         7         6         1         8         2
            Vardas88           Pavarde88         9         4         4         9         6         3
            Vardas89           Pavarde89        10         8         9         9         4        10
            Vardas90           Pavarde90         1         6         8         1         1         2
            Vardas91           Pavarde91         3        10         4         6         6         5
            Vardas92           Pavarde92         6         2         6         3        10         7
            Vardas93           Pavarde93         6         2         4         2         8         2
            Vardas94           Pavarde94         4         5         9         8         4         9
            Vardas95           Pavarde95         9         1         7         5         3         1
            Vardas96           Pavarde96         2         3         2         2         9         5
            Vardas97           Pavarde97         3         7         6         9         5         9
            Vardas98           Pavarde98         9         7         4         2         1         9
            Vardas99           Pavarde99         7        10         8         7         5         1
           Vardas100          Pavarde100         4         8         1         2        10         5
           Vardas101          Pavarde101         5         6        10        10         3         4
           Vardas102          Pavarde102         9         9         9         1         2         2
           Vardas103          Pavarde103         9         6         8         6        10         2
           Vardas104          Pavarde104         6        10         9         7         4         6
           Vardas105          Pavarde105         6         3         1         7         1         3
           Vardas106          Pavarde106         6         9         4         6         8         2
           Vardas107          Pavarde107         6        10         5        10         6         3
           Vardas108          Pavarde108         2        10         2         4         5         3
           Vardas109          Pavarde109         3         8         5         2         1         2
           Vardas110          Pavarde110         8         7         7         2         2         3
           Vardas111          Pavarde111         3         3         4         5         2         8
           Vardas112          Pavarde112         4        10         4         8         8         6
           Vardas113          Pavarde113         1         7         3         1         6         9
           Vardas114          Pavarde114         3         5         8         7        10         7
           Vardas115          Pavarde115         8         2         7         8         3         3
           Vardas116          Pavarde116         4         3         5         2         4        10
           Vardas117          Pavarde117         3        10         4         6         7         7
           Vardas118          Pavarde118         6         8         5         8         2        10
           Vardas119          Pavarde119         1         4         9         6         8         8
           Vardas120          Pavarde120         4         3         4         5         6         8
           Vardas121          Pavarde121         4         4         8         2         1         5
           Vardas122          Pavarde122         9         6         1         2         5         8
           Vardas123          Pavarde123         3         6         1         9        10         7
           Vardas124          Pavarde124         8         1         8         4         3         8
           Vardas125          Pavarde125         7         4         7         2         9         9
           Vardas126          Pavarde126         4        10         5         8         7         3
           Vardas127          Pavarde127         4         8         3         2         4         4
           Vardas128          Pavarde128         5         8         9        10         1         3
           Vardas129          Pavarde129         7         2         4         6         4         2
           Vardas130          Pavarde130         9         8         3         5         4         7
           Vardas131          Pavarde131         8         6         4         3         5         6
           Vardas132          Pavarde132         3         4         3         3         5         6
           Vardas133          Pavarde133         8         7        10         4         5         5
           Vardas134          Pavarde134        10         5         8         2         5         9
           Vardas135          Pavarde135         7         1         8         2         4         4
           Vardas136          Pavarde136         9        10         7        10         8         9
           Vardas137          Pavarde137         7         1         6         5         7         2
           Vardas138          Pavarde138         9         4         7         3         2         6
           Vardas139          Pavarde139         2        10         4         8         4         7
           Vardas140          Pavarde140         1         7         7         2         3         1
           Vardas141          Pavarde141         8         8        10         2         1         1
           Vardas142          Pavarde142         3         9         7         4         7         6
           Vardas143          Pavarde143         1         1         7         4         8         4
           Vardas144          Pavarde144         9         2         9         3         7         9
           Vardas145          Pavarde145         1         5         5        10         4         1
           Vardas146          Pavarde146         2         9         1         6         1         9
           Vardas147          Pavarde147         7         5         8         6         7         3
           Vardas148          Pavarde148         7         9         3        10         6        10
           Vardas149          Pavarde149         2         2         9         3         4         8
           Vardas150          Pavarde150         3         5         8        10         9         5
           Vardas151          Pavarde151         6         3         2         4         7         6
           Vardas152          Pavarde152         6         5         1         2         9         4
           Vardas153          Pavarde153         3         8         8        10         6         9
           Vardas154          Pavarde154         8         8        10         5         9         2
           Vardas155          Pavarde155         9         3         4         7        10         8
           Vardas156          Pavarde156         2         6         1         1         6         7
           Vardas157          Pavarde157         4         5         9         9         9         3
           Vardas158          Pavarde158         3         7         3         1         1         6
           Vardas159          Pavarde159         4         9        10         9         8         5
           Vardas160          Pavarde160         6         5         9         1         5         3
           Vardas161          Pavarde161         9         1         2         5         1         2
           Vardas162          Pavarde162         6         6         6         7         6         3
           Vardas163          Pavarde163         8         4         2         5        10         3
           Vardas164          Pavarde164         1         9        10        10         3         9
           Vardas165          Pavarde165         7         6         7         3         4         4
           Vardas166          Pavarde166         7         8        10         5         2         4
           Vardas167          Pavarde167        10         9         6         8         8        10
           Vardas168          Pavarde168         9         8         5         8         8        10
           Vardas169          Pavarde169         7         9         1         3         1         2
           Vardas170          Pavarde170        10        10         2         9         7         6
           Vardas171          Pavarde171         7         7         6         1         8         8
           Vardas172          Pavarde172         7         1         5         3         1         7
           Vardas173          Pavarde173         5        10         9         1        10         1
           Vardas174          Pavarde174         9        10         7        10        10         1
           Vardas175          Pavarde175         7         8         7         3         5         2
           Vardas176          Pavarde176         6         5         2         4         5         2
           Vardas177          Pavarde177        10         7         1         3        10         4
           Vardas178          Pavarde178         2         9         7         3         8         2
           Vardas179          Pavarde179         1        10         1         8         3         3
           Vardas180          Pavarde180         7        10         6         8         6        10
           Vardas181          Pavarde181         4         3         8         8        10         2
           Vardas182          Pavarde182         7         3         1        10         6         1
           Vardas183          Pavarde183         9         4         3         4         9         2
           Vardas184          Pavarde184         2         7         9         4         9         1
           Vardas185          Pavarde185         3         8         8         7         7         6
           Vardas186          Pavarde186         8         5         7         2         6         5
           Vardas187          Pavarde187         6         4         9         7         2         2
           Vardas188          Pavarde188         6         3         6         6         6         1
           Vardas189          Pavarde189         8         9         3         9         1         4
           Vardas190          Pavarde190         9         9         1         8         5         5
           Vardas191          Pavarde191         3         5         5         9         9         6
           Vardas192          Pavarde192         9         3        10         5         4         3
           Vardas193          Pavarde193         7         8         1         1         5         3
           Vardas194          Pavarde194         7        10         1         3         9         7
           Vardas195          Pavarde195         6         2         1         6         8         1
           Vardas196          Pavarde196        10         1         2         8         6         4
           Vardas197          Pavarde197         8        10         6         3         5         4
